authority_rank	status	role	pointer	supersession_note
19	PROVENANCE	V9 session close	70-CURRENT-2026-09-05-SESSION-CLOSE/00-SESSION-HANDOFF-V9.md	baseline/provenance; Nomonhan/China clock superseded by V10
100	PROVENANCE-SUPERSEDED	post-V9 stale drafts	90-PROVENANCE-SUPERSEDED-POST-V9/	not current authority
14.25	CURRENT-HIGH	E7/E6 airframe retrofit prewar outlook	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E7-E6-AIRFRAME-RETROFIT-PREWAR-OUTLOOK-1940-1942-V1.md	1940-41 E7 research-close schedule, E6 Single/Twin retrofit H->A and future-aircraft engine-review rule
14.26	CURRENT-HIGH	E7/E6 retrofit outlook ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E7-E6-AIRFRAME-RETROFIT-PREWAR-OUTLOOK-LEDGER-V1.tsv	structured schedule/capability/performance/design-target values
14.27	CURRENT-HIGH	E7 turboprop/shaft prewar outlook	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E7-TURBOPROP-SHAFT-PRODUCT-PREWAR-OUTLOOK-1940-1942-V1.md	E7 scale-sensitive shaft/TP product bands, B6N comparator, AT-3 growth and propeller gates; no future combat advance
14.28	CURRENT-HIGH	E7 turboprop/shaft outlook ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E7-TURBOPROP-SHAFT-PRODUCT-PREWAR-OUTLOOK-LEDGER-V1.tsv	structured E7 S/M/L shaft-product and aircraft-selection outlook values
14.29	CURRENT-HIGH	B6N Tenzan piston/E6-S-T/E7-M-LF comparative outlook	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-B6N-TENZAN-PISTON-E6ST-E7M-TP-COMPARATIVE-OUTLOOK-1939-1942-V1.md	14-Shi carrier geometry; E7 lower-medium TP conditional main candidate; no future service pre-recorded
14.3	CURRENT-HIGH	B6N Tenzan comparative ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-B6N-TENZAN-PISTON-E6ST-E7M-TP-COMPARATIVE-LEDGER-V1.tsv	structured piston/E6-S-T/E7-M-LF mass/performance/range/schedule outlook
14.31	CURRENT-HIGH	D4Y Suisei piston/E7-S-T comparative outlook	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-D4Y-SUISEI-PISTON-E7ST-TP-COMPARATIVE-OUTLOOK-1940-1942-V1.md	clean Atsuta comparator; E7-S-T small-core recon/fast-strike conditional branch; structural/replacement timing
14.32	CURRENT-HIGH	D4Y comparative ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-D4Y-SUISEI-PISTON-E7ST-TP-COMPARATIVE-LEDGER-V1.tsv	structured mass/speed/range/dive/schedule/procurement outlook
14.33	CURRENT-HIGH	naval carrier TP D4Y/B6N application split	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-NAVY-CARRIER-TP-APPLICATION-SPLIT-D4Y-B6N-1941-1942-V1.md	E7-S vs E7-M scale split and shared naval bottlenecks
14.34	CURRENT-HIGH	E5-derived E6 fast-heavy-bomber outlook	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-DERIVED-E6-FAST-HEAVY-BOMBER-OUTLOOK-1938-1941-V1.md	E5 attack-driven dedicated 1.0-1.2t internal fast-bomber branch; E7 growth outlook; no future service pre-recorded
14.35	CURRENT-HIGH	E6 fast-heavy-bomber outlook ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-DERIVED-E6-FAST-HEAVY-BOMBER-OUTLOOK-LEDGER-V1.tsv	structured requirement/mass/payload/performance/radius/E7-growth values
14.36	CURRENT-HIGH	E5/E6/E7 aircraft-engine family Army/Navy matrix	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-AIRCRAFT-ENGINE-GENERATION-FAMILY-ARMY-NAVY-MATRIX-1937-1942-V1.md	generation/core-scale/backend/airframe/service hierarchy; same-engine multiple-airframe and same-generation cross-core closure
14.37	CURRENT-HIGH	E5/E6/E7 aircraft-engine family structured ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-AIRCRAFT-ENGINE-GENERATION-FAMILY-ARMY-NAVY-LEDGER-1937-1942-V1.tsv	structured E5-E7 engine-product/airframe/service crosswalk
14.38	CURRENT-HIGH	aircraft nomenclature alias/restoration guard	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-AIRCRAFT-NOMENCLATURE-ALIAS-RESTORATION-GUARD-V1.md	separates technical identity from provisional service naming; preserves old labels and permits formal restoration
14.39	CURRENT-HIGH	aircraft nomenclature alias/restoration ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-AIRCRAFT-NOMENCLATURE-ALIAS-RESTORATION-LEDGER-V1.tsv	structured protected/prior labels vs working aliases
