key	value	status	authority
E6_FAST_HEAVY_BOMBER_OUTLOOK	E5-driven dedicated branch: ~6.7t / 1.0-1.2t internal / ~680-710km/h at 5-7km / ~550-700km standard strike radius	H->A-OUTLOOK-E6BOMBER1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-DERIVED-E6-FAST-HEAVY-BOMBER-OUTLOOK-1938-1941-V1.md
E6_FAST_HEAVY_BOMBER_E7_GROWTH	E7 inherited-aft-fan retrofit ~715-740km/h same-airframe or 7.3-7.6t heavy growth with ~1.3-1.5t standard bomb load	H->A-FUTURE-E6BOMBER1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-DERIVED-E6-FAST-HEAVY-BOMBER-OUTLOOK-1938-1941-V1.md
E_FAMILY_ARCHITECTURE	E-generation / core scale / backend / airframe family / service fit are separate axes; same engine may power multiple airframes and services	CLOSED-EFAMILY1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-AIRCRAFT-ENGINE-GENERATION-FAMILY-ARMY-NAVY-MATRIX-1937-1942-V1.md
E7_SERVICE_SCALE_SPLIT	D4Y E7-S-T; B6N E7-M lower T; AT-3 E7-M central T; E6 Single/Twin/Bomber E7-M J/JF retrofit; E7-L large transport/patrol open	CLOSED-OUTLOOK-EFAMILY1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-AIRCRAFT-ENGINE-GENERATION-FAMILY-ARMY-NAVY-LEDGER-1937-1942-V1.tsv
NOMENCLATURE_GUARD	NAMEGUARD1; new 2026-09-07 service names/codes are working aliases unless independently attested; older labels remain restorable	CURRENT	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-AIRCRAFT-NOMENCLATURE-ALIAS-RESTORATION-GUARD-V1.md
AIRCRAFTDEV_CLOCK	technical/development through 1941-12-31; no combat backflow	CLOSED	78-CURRENT-2026-09-08-AIRCRAFT-DEVELOPMENT-CLOSE/01-AIRCRAFT-DEVELOPMENT-CHRONOLOGY-1935-1941-V1.md
A7M_GAIFU_1941	E6 working prototype/service evaluation; no mass 1941 OOB	WORKING-CLOSED	78-CURRENT-2026-09-08-AIRCRAFT-DEVELOPMENT-CLOSE/06-E6B-STOL-GAIFU-SAKUFU-TPRECON-WORKING-CLOSEOUT-V1.md
A8N_SAKUFU_1941	dedicated working prototype; carrier service remains 1942+ gate	WORKING-CLOSED	78-CURRENT-2026-09-08-AIRCRAFT-DEVELOPMENT-CLOSE/06-E6B-STOL-GAIFU-SAKUFU-TPRECON-WORKING-CLOSEOUT-V1.md
J2N_HEKIREKI_1941	requirement/preliminary-design gate only by default; dedicated prototype earliest 1942 if approved	OPEN-GATE	78-CURRENT-2026-09-08-AIRCRAFT-DEVELOPMENT-CLOSE/04-AIRCRAFT-DESIGNATION-GATE-LEDGER-V1.tsv
TP_HIGH_ALT_RECON	late-1940 working first-flight; 1941 service-test/limited-service possible; Ki-40 code gate remains open	WORKING-CLOSED	78-CURRENT-2026-09-08-AIRCRAFT-DEVELOPMENT-CLOSE/06-E6B-STOL-GAIFU-SAKUFU-TPRECON-WORKING-CLOSEOUT-V1.md
E6B_FAST_HEAVY_TWIN	1938H2 requirement; ~6.7t / 1.0-1.2t internal bomb working branch; adoption not pre-recorded	CURRENT-OUTLOOK	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-DERIVED-E6-FAST-HEAVY-BOMBER-OUTLOOK-1938-1941-V1.md
T5_CAPACITY	1939Q4 capacity commitment; +1500-2200/yr mature planning increment; initial useful output 1941Q4	PLANNING-CLOSED	78-CURRENT-2026-09-08-AIRCRAFT-DEVELOPMENT-CLOSE/07-INDUSTRIAL-CAPACITY-AND-T-AUX-CLOSEOUT-1939-1941-V1.md
T6_CAPACITY	1940H1 option study only; no capacity number	OPEN-OPTION	78-CURRENT-2026-09-08-AIRCRAFT-DEVELOPMENT-CLOSE/07-INDUSTRIAL-CAPACITY-AND-T-AUX-CLOSEOUT-1939-1941-V1.md
AIRCRAFT_OLD_BRANCH_QUARANTINE	91-PROVENANCE-QUARANTINED-AIRCRAFT-RESEARCH-V11; no automatic restoration	HARD-QUARANTINE	78-CURRENT-2026-09-08-AIRCRAFT-DEVELOPMENT-CLOSE/05-AIRCRAFT-RESEARCH-QUARANTINE-RULES-V1.md
NEXT_TECHNICAL_TOPIC	helicopter / rotorcraft development-history and H->A audit	NEXT	78-CURRENT-2026-09-08-AIRCRAFT-DEVELOPMENT-CLOSE/08-NEXT-TOPIC-HELICOPTER-AUDIT-V1.md
