claim_id	domain	entity	claim	status	authority_layer	effective_branch	source_pointer	supersedes	notes
B-0079	history	10 July 18:20/18:55 withdrawal orders	河邉旅団/歩1は竜王廟斥候撤収を命じるが、斥候小隊は交戦・負傷者・敵増加で実行困難。命令未達ではなく戦術的離脱困難としてCLOSE	CLOSED-EVENT	current-session + brigade/regimental operation orders	1937-07-10	27-1937-07-10-LONGWANGMIAO-SECOND-BATTLE-GATE-1600-2115.md		浅井radio/vehicle差で消さない
B-0080	history	10 July 19:00 Mutaguchi independent attack order	一文字山から状況を見た牟田口が19:00、第1大隊へ独断攻撃命令。撤収方針と逆向きだが同じ現場条件/人物判断が残るためevent保存	CLOSED-EVENT	current-session + 1st Regiment battle report	1937-07-10	27-1937-07-10-LONGWANGMIAO-SECOND-BATTLE-GATE-1600-2115.md		Asai does not alter command personality
B-0081	history	10 July 19:25 mortar volley / 20:20 Kawabe arrival	19:25中国側迫撃砲斉射で河邉が強硬化し装甲車両で現場へ、20:20聯隊本部到着後に牟田口処置を事実上黙認。current branchでも同じ	CLOSED-EVENT	current-session + Hokkaido primary-source synthesis	1937-07-10	27-1937-07-10-LONGWANGMIAO-SECOND-BATTLE-GATE-1600-2115.md		当該装甲車両を浅井turbo車と自動同定しない
B-0082	history	10 July 21:15 Longwangmiao recapture	第1大隊攻撃により21:15日本側が竜王廟を再占領、死傷者収容。event/result/time-orderは保存、正確損害と分単位進捗はOPEN	CLOSED-EVENT/OPEN-TACTICAL-DETAIL	current-session + 1st Regiment battle report	1937-07-10	27-1937-07-10-LONGWANGMIAO-SECOND-BATTLE-GATE-1600-2115.md		次gateで02:00西五里店集結へ接続
B-0083	weapons	Asai weapon effect on 10 July Longwangmiao fight	dense-core APと15cm turbo-tractorは当該歩兵奪回戦の律速でなく非関与。九六式軽機/QCはminor reliability差の余地のみで、21:15結果を変える根拠なし	CLOSED-DIRECTION	current-session + current weapon/material ledgers	1937-07-10	27-1937-07-10-LONGWANGMIAO-SECOND-BATTLE-GATE-1600-2115.md		第1大隊のexact LMG mixは未監査
B-0084	movement/communications	Asai vehicle/comms effect on Kawabe response	旅団-聯隊通信は機能し、問題は命令競合/現場判断。河邉の装甲車両型式は不明で浅井turbo搭載を仮定せず、20:20現着を前倒ししない	CLOSED-DIRECTION	current-session + Hokkaido causal audit	1937-07-10	27-1937-07-10-LONGWANGMIAO-SECOND-BATTLE-GATE-1600-2115.md		readiness improvement remains background only
B-0085	history	11 July 05:00-11:30 local settlement	05:00交渉停頓後、今井武官が11:30頃に相互自発撤兵案を提示し中国側が盧溝橋からの正規軍撤退を承認、実質妥結	CLOSED-EVENT	current-session + Hokkaido primary-source synthesis	1937-07-11	28-1937-07-11-LOCAL-SETTLEMENT-CENTRAL-DISPATCH-GATE-0500-2000.md		浅井非介入
B-0086	history	11 July central reinforcement decision	中央は不拡大方針を維持しつつ関東軍/朝鮮軍一部と内地3個師団等の増援準備を承認。内地師団は情勢条件付き	CLOSED-EVENT	current-session + NIDS/Hokkaido synthesis	1937-07-11	28-1937-07-11-LOCAL-SETTLEMENT-CENTRAL-DISPATCH-GATE-0500-2000.md		全面戦争決定ではなく予備措置
B-0087	mobilization	Asai effect on 11 July dispatch decision	浅井の車両/修理/電源/工業余力は動員後readinessを改善するが、予備役招集・編成・馬匹/車両徴発・鉄道・港湾・海運律速を消さず、中央派兵decisionを反転させない	CLOSED-DIRECTION	current-session causal audit	1937-07-11	28-1937-07-11-LOCAL-SETTLEMENT-CENTRAL-DISPATCH-GATE-0500-2000.md		数週間→数日への魔法短縮なし
B-0088	history	11 July 14:00-16:00 local approval/report	14時頃現地参謀長認可、16時頃中国側全面受諾確認後に中央へ当面動員を進めない旨上申、関東軍にも山海関待機要請	CLOSED-EVENT	current-session + Hokkaido primary-source synthesis	1937-07-11	28-1937-07-11-LOCAL-SETTLEMENT-CENTRAL-DISPATCH-GATE-0500-2000.md		中央準備を即時停止せず
B-0089	communications	11 July local-central policy lag	妥結情報は中央へ送られており、ねじれの原因は通信未達でなく現地交渉と中央予備動員の並行decision cycle。浅井通信改善で消さない	CLOSED-DIRECTION	current-session causal audit	1937-07-11	28-1937-07-11-LOCAL-SETTLEMENT-CENTRAL-DISPATCH-GATE-0500-2000.md		
B-0090	history	11 July 18:30 dispatch statement	政府は18:30華北派兵声明を発表。不拡大/和平希望と増援措置を同時掲示。current branchでも同じ	CLOSED-EVENT	current-session + Japanese diplomatic document	1937-07-11	28-1937-07-11-LOCAL-SETTLEMENT-CENTRAL-DISPATCH-GATE-0500-2000.md		
B-0091	history	11 July 20:00 three-point agreement	18時以後最終文案を調整し、20時に張允栄・張自忠との三カ条協定を正式調印	CLOSED-EVENT	current-session + Hokkaido/FRUS	1937-07-11	28-1937-07-11-LOCAL-SETTLEMENT-CENTRAL-DISPATCH-GATE-0500-2000.md		
B-0092	history	11 July end-state	20時時点で盧溝橋局地は協定成立により収束方向だが、日中双方の増援と日本中央の派兵準備は並行継続	CLOSED-STATE	current-session synthesis	1937-07-11	28-1937-07-11-LOCAL-SETTLEMENT-CENTRAL-DISPATCH-GATE-0500-2000.md		next gate 11日夜-13日
B-0093	history	11 July late post-truce firing	20時協定後22:00-22:30頃にも北平で発砲音。日中双方の責任主張は食い違うため発砲eventのみ保存し責任はOPEN	CLOSED-EVENT/OPEN-RESPONSIBILITY	current-session + FRUS	1937-07-11	29-1937-07-11-13-SETTLEMENT-MOBILIZATION-GATE-2000-2000.md		協定無効化とは自動解釈しない
B-0094	movement	12-13 July Japanese rail reinforcements	天津へ北方から鉄道増援が断続到着。2万人等の同時代数字は誇張を含むため固定せず、戦略移動は鉄道主軸	CLOSED-DIRECTION	current-session + FRUS military-attache crosscheck	1937-07-12/13	29-1937-07-11-13-SETTLEMENT-MOBILIZATION-GATE-2000-2000.md		浅井差は荷卸し後ready fraction
B-0095	history	Chinese central divisions moving north	蒋介石系中央軍の複数師団が漢口/徐州方面から北上し、日本側予備動員判断の重要条件となる	CLOSED-EVENT	current-session + FRUS/NIDS	1937-07-12/13	29-1937-07-11-13-SETTLEMENT-MOBILIZATION-GATE-2000-2000.md		
B-0096	mobilization	Korean 20th Division emergency mobilization	11日派遣/応急動員命令、13日を動員第1日として開始。13日中の北支現着は置かない	CLOSED-EVENT	current-session + JACAR-cited mobilization records + FRUS	1937-07-13	29-1937-07-11-13-SETTLEMENT-MOBILIZATION-GATE-2000-2000.md		浅井装備差で招集/海運律速を消さない
B-0097	history	Dahongmen ammunition truck explosion	13日北平南方で日本軍弾薬トラック爆発。重大戦闘との誤報を誘発。後世の中国軍爆破説と同時代FRUSの原因未確定記録を分離	CLOSED-EVENT/OPEN-CAUSE	current-session + FRUS retrospective + Japanese memoir trail	1937-07-13	29-1937-07-11-13-SETTLEMENT-MOBILIZATION-GATE-2000-2000.md		vehicle type / exact casualties open
B-0098	history	13 July 20:00 North China policy / home dispatch hold	現地解決方針を維持し、内地部隊実派遣を保留。中国側協定違反/中央軍北上時は断固措置というconditional posture	CLOSED-EVENT	current-session + NIDS	1937-07-13	29-1937-07-11-13-SETTLEMENT-MOBILIZATION-GATE-2000-2000.md		
B-0099	mobilization	Asai effect on 11-13 July strategic movement	浅井車両/牽引/整備差は鉄道主軸の戦略増援時刻を大きく変えず、到着後稼働率/故障余裕を改善するのみ	CLOSED-DIRECTION	current-session causal audit	1937-07-11/13	29-1937-07-11-13-SETTLEMENT-MOBILIZATION-GATE-2000-2000.md		
B-0100	company	Asai internal readiness after dispatch statement	11日声明〜13日動員状況を受け、軍需在庫/交換品/即納電源/二交代移行条件を社内点検するが正式大量増産はまだ開始しない	WORKING-HIGH-CONFIDENCE	current-session user posture + causal audit	1937-07-11/13	29-1937-07-11-13-SETTLEMENT-MOBILIZATION-GATE-2000-2000.md		political interventionなし
B-0101	history	14 July restraint policy	14日、日本中央/香月は不拡大・日中部隊隔離・挑戦回避・増援前進抑制を再確認。浅井ready差で変更しない	CLOSED-EVENT	current-session + Hokkaido primary-source synthesis	1937-07-14	30-1937-07-13-17-REINFORCEMENT-LOCAL-CLASH-LUSHAN-GATE-2000-1800.md		
B-0102	movement	14 July Tientsin-Peiping road reinforcement	約3,500名＋砲12門が天津から北平方面へ道路移動。全員自動車化とはせず混成移動としてCLOSE	CLOSED-EVENT	current-session + FRUS/Stilwell	1937-07-14	30-1937-07-13-17-REINFORCEMENT-LOCAL-CLASH-LUSHAN-GATE-2000-1800.md		馬匹約500頭を含む直前到着記録あり
B-0103	logistics	Asai effect on 14 July road movement	浅井turbo重車両/牽引車はmotorized echelonの過熱・落伍・牽引余裕を改善するが徒歩/馬匹/一般車を含む全隊の大幅早着は生まない	CLOSED-DIRECTION	current-session causal audit	1937-07-14	30-1937-07-13-17-REINFORCEMENT-LOCAL-CLASH-LUSHAN-GATE-2000-1800.md		exact micro-timing OPEN
B-0104	history	14 July 37th Division offensive preparation	日本増援/撤退不十分への不満から第37師前線指揮官へ攻勢準備命令。current branchでも同じ	CLOSED-EVENT	current-session + Hokkaido/Chinese records synthesis	1937-07-14	30-1937-07-13-17-REINFORCEMENT-LOCAL-CLASH-LUSHAN-GATE-2000-1800.md		
B-0105	history	14-16 July local clashes	永定門射撃、15日団河騎兵事件、16日大紅門砲撃/安平射撃を保存。浅井車両/通信差で消えない	CLOSED-EVENT	current-session + Hokkaido primary-source synthesis	1937-07-14/16	30-1937-07-13-17-REINFORCEMENT-LOCAL-CLASH-LUSHAN-GATE-2000-1800.md		exact casualty detail partly open
B-0106	history	15 July local Japanese withdrawal	夜間射撃沈静を受け盧溝橋前線から少数歩哨を残して撤退。14日抑制方針と整合しcurrent branchでも同じ	CLOSED-EVENT	current-session + Hokkaido	1937-07-15	30-1937-07-13-17-REINFORCEMENT-LOCAL-CLASH-LUSHAN-GATE-2000-1800.md		
B-0107	history	17 July Japanese deadline policy	19日を履行期限とし謝罪/処分/撤退/排日取締を要求、未履行時内地師団動員というconditional policyを決定	CLOSED-EVENT	current-session + Hokkaido/NIDS	1937-07-17	30-1937-07-13-17-REINFORCEMENT-LOCAL-CLASH-LUSHAN-GATE-2000-1800.md		
B-0108	history	17 July Lushan statement	蒋介石の廬山声明は主権/河北察哈爾行政/中央任命官吏/第29軍駐屯への外圧拒否を最低線とし、最後の関頭なら応戦する核心内容で史実同様	CLOSED-EVENT	current-session + FRUS/Chinese political record	1937-07-17	30-1937-07-13-17-REINFORCEMENT-LOCAL-CLASH-LUSHAN-GATE-2000-1800.md		逐語本文は固定せず実質同一
B-0109	history	17 July end-state	17日夕時点で局地協定履行交渉と小衝突、日中双方増援/抗戦準備が併存。浅井差はreadinessのみで明確なevent分岐なし	CLOSED-STATE	current-session synthesis	1937-07-17	30-1937-07-13-17-REINFORCEMENT-LOCAL-CLASH-LUSHAN-GATE-2000-1800.md		next gate 17 evening-19/20
B-0110	history	18 July Soong-Katsuki visit	18日13時頃、宋哲元は天津で香月司令官を訪問し遺憾を表明。日本側は謝罪、中国側は帰任挨拶＋遺憾表明と位置づけるsemantic差も保存	CLOSED-EVENT	current-session + Hokkaido primary-source synthesis	1937-07-18	31-1937-07-17-20-LOCAL-COMPLIANCE-RENEWED-FIGHTING-GATE-1800-2100.md		
B-0111	aviation	18 July Peiping-Hankow troop-train air incident	京漢線北上軍用列車偵察中の日本軍機が列車側射撃を受け応射し死傷者/世論悪化を生む事件を保存。機種は未確定でKi-15等へ自動同定しない	CLOSED-EVENT/OPEN-DETAIL	current-session + Hokkaido/Chinese contemporary reports	1937-07-18	31-1937-07-17-20-LOCAL-COMPLIANCE-RENEWED-FIGHTING-GATE-1800-2100.md		exact aircraft type/unit OPEN
B-0112	history	19 July Soong return / free-action warning	19日宋哲元北平帰還。05時一文字山附近射撃で日本兵負傷、20時には20日正午以降の再射撃に自由行動を取る旨を日本側が通告	CLOSED-EVENT	current-session + Hokkaido/FRUS	1937-07-19	31-1937-07-17-20-LOCAL-COMPLIANCE-RENEWED-FIGHTING-GATE-1800-2100.md		
B-0113	history	19 July detailed implementation agreement	19日23時、橋本参謀長と第29軍代表の間で11日協定第三項実施細目が成立。反共/排日団体・宣伝・教育取締等、第37師撤退は別途自発実行	CLOSED-EVENT	current-session + Hokkaido	1937-07-19	31-1937-07-17-20-LOCAL-COMPLIANCE-RENEWED-FIGHTING-GATE-1800-2100.md		
B-0114	history	20 July renewed implementation effort	20日午前、第37師を西苑へ集結し移動準備。宋側は保定方面撤退と第132師入替を提案、処分/細目履行/21日正午撤退開始を通知	CLOSED-EVENT	current-session + Hokkaido	1937-07-20	31-1937-07-17-20-LOCAL-COMPLIANCE-RENEWED-FIGHTING-GATE-1800-2100.md		
B-0115	history	20 July renewed Marco Polo fighting	20日14:30頃再発砲→日本側応戦/砲撃、15時以後西岸砲火、19:30頃五里店砲撃、日本側が宛平望楼/城門を懲罰砲撃。event sequenceを保存	CLOSED-EVENT	current-session + Hokkaido/FRUS	1937-07-20	31-1937-07-17-20-LOCAL-COMPLIANCE-RENEWED-FIGHTING-GATE-1800-2100.md		exact casualty totals report-dependent
B-0116	weapons	Asai effect on 20 July artillery fighting	1937年時点で浅井由来の計算・測地・射表・QC導入により砲兵の諸元処理/修正/再現性は史実より成熟。ただし20日砲戦は威嚇・懲罰目的が強い限定射撃で、技術差を大破壊/大損害へ転化させない。U/W高密度弾は装甲目標不在で無関係	CLOSED-DIRECTION	current-session causal audit	1937-07-20	31-1937-07-17-20-LOCAL-COMPLIANCE-RENEWED-FIGHTING-GATE-1800-2100.md		砲兵計算差をminor扱いしないが、mission intentが効果上限
B-0117	politics	20 July shelling effect on Soong	宋が協定履行を進める同日に宛平への懲罰砲撃が発生する矛盾を保存。砲撃を消さないため、宋の部分妥協継続意欲を損なう政治的作用も保存	CLOSED-DIRECTION	current-session + Hokkaido interpretation	1937-07-20	31-1937-07-17-20-LOCAL-COMPLIANCE-RENEWED-FIGHTING-GATE-1800-2100.md		
B-0118	history	20 July end-state	20日夜、局地協定履行は形式上存続し第37師移動準備も進む一方、盧溝橋/宛平では重大砲撃戦が再発。浅井由来の明確なevent分岐なし	CLOSED-STATE	current-session synthesis	1937-07-20	31-1937-07-17-20-LOCAL-COMPLIANCE-RENEWED-FIGHTING-GATE-1800-2100.md		next gate 21-22 July
B-0119	history	21 July renewed de-escalation	21日、宋哲元和平談話、盧溝橋/衙門口部隊後退開始、散発射撃のみ。20日砲戦後も再収束するeventを保存	CLOSED-EVENT	current-session + Hokkaido primary-source synthesis	1937-07-21	32-1937-07-21-22-WITHDRAWAL-RAIL-TRANSPORT-GATE.md		
B-0120	policy	21 July Tientsin Army home-division opinion	陸軍中央の内地3個師団運用意見照会に、天津軍は第29軍履行中/現有兵力で十分/追加大兵力は事態紛糾の恐れとして否定的回答	CLOSED-EVENT	current-session + Hokkaido/operation-history record	1937-07-21	32-1937-07-21-22-WITHDRAWAL-RAIL-TRANSPORT-GATE.md		
B-0121	logistics	Asai effect on 21 July force-sufficiency judgment	浅井系重車両/牽引/整備で現有部隊ready fractionは史実より若干高いが、史実ですでに「現有兵力で十分」なので判断は反転せず、むしろ同結論のconfidence marginに留まる	CLOSED-DIRECTION	current-session causal audit	1937-07-21	32-1937-07-21-22-WITHDRAWAL-RAIL-TRANSPORT-GATE.md		
B-0122	communications	21 July Paposhan withdrawal-order failure	八宝山の第37師部隊が命令未達で撤退せず、再令達後に撤退開始。中国側command-chain failureであり浅井通信差では解消しない	CLOSED-EVENT	current-session + Hokkaido primary-source synthesis	1937-07-21	32-1937-07-21-22-WITHDRAWAL-RAIL-TRANSPORT-GATE.md		
B-0123	rail	22 July Peiping-Hankow repair and 37th Division rail transport	22日平漢線修理後、第37師の南方鉄道移送開始。15時予定列車は18時頃発車。中国側鉄道運用であり浅井差による前倒しなし	CLOSED-EVENT	current-session + Hokkaido/FRUS	1937-07-22	32-1937-07-21-22-WITHDRAWAL-RAIL-TRANSPORT-GATE.md		
B-0124	history	22 July de-escalation high point	第37師移送/前線撤退、処分・罷免・刊行物取締等で日本側は相当の履行誠意を認識し、22日は非常に平穏な一日となる	CLOSED-STATE	current-session + Hokkaido/foreign observer record	1937-07-22	32-1937-07-21-22-WITHDRAWAL-RAIL-TRANSPORT-GATE.md		next gate 23-24 Jul
B-0125	history	23 July 37th Division withdrawal slowdown	23日11時頃第218団撤退後、第110/111旅等主要部の撤退が鈍化・停止。FRUS上の部分撤退継続と両立し、全面撤退未達を保存	CLOSED-EVENT	current-session + Hokkaido/FRUS	1937-07-23	33-1937-07-23-24-COMPLIANCE-SEMANTIC-BREAKDOWN-GATE.md		
B-0126	history	23 July 132nd Division Peiping entry discrepancy	第37師撤退未完了の一方、第132師が想定以上に入平し、日本側は団数申告差を含め不信を強める	CLOSED-EVENT	current-session + Hokkaido	1937-07-23	33-1937-07-23-24-COMPLIANCE-SEMANTIC-BREAKDOWN-GATE.md		
B-0127	politics	23 July Hsiung Pin arrival / Nanking guidance	熊斌が北平入りし蒋介石の指示を伝達。11日三条件は主権等を害さない限り中央も受容しうるが、無期限な駐兵制限等へ拡張しない線を提示	CLOSED-EVENT	current-session + Hokkaido/Chiang archival synthesis	1937-07-23	33-1937-07-23-24-COMPLIANCE-SEMANTIC-BREAKDOWN-GATE.md		
B-0128	communications-politics	24 July implementation semantic mismatch	24日15時頃の宋哲元会談で、宋が日本側の細目協定解釈を承知せず、その解釈に基づく命令も令達されていないことが判明。通信機材故障ではなくsemantic/authority failure	CLOSED-EVENT	current-session + Hokkaido	1937-07-24	33-1937-07-23-24-COMPLIANCE-SEMANTIC-BREAKDOWN-GATE.md		
B-0129	politics	24 July Japanese local attitude hardening	第37師撤退範囲/第132師入平数の理解差により特務機関側の態度が硬化するが、即時攻撃ではなく再直接交渉方針を維持	CLOSED-DIRECTION	current-session + Hokkaido	1937-07-24	33-1937-07-23-24-COMPLIANCE-SEMANTIC-BREAKDOWN-GATE.md		
B-0130	logistics-politics	Asai effect on 24 July Japanese reinforcement perception	浅井系重車両/牽引/整備により日本増援の機械的ready fractionは史実より若干高く、宋の「今は正面抗戦不利/交渉で時間稼ぎ」認識を補強し得る。ただし史実でも同結論でevent差なし	CLOSED-DIRECTION	current-session causal audit	1937-07-24	33-1937-07-23-24-COMPLIANCE-SEMANTIC-BREAKDOWN-GATE.md		全軍自動車化はしない
B-0131	history	24 July end-state	24日夜、局地協定の意味に重大なズレが露呈し双方不信が増す一方、日本現地側はなお不拡大/再直接交渉線。宋側は戦争不可避感を強めつつ時間稼ぎへ	CLOSED-STATE	current-session synthesis	1937-07-24	33-1937-07-23-24-COMPLIANCE-SEMANTIC-BREAKDOWN-GATE.md		next gate 25 Jul Langfang
B-0132	communications	Langfang repeated wire cuts	廊坊の軍用線切断は年初から反復し、盧溝橋事件後も継続。盗難目的の区間持去りでなく通信妨害目的の一カ所切断であり、浅井製部品/電源/接点品質では防げない	CLOSED-EVENT	current-session + Hokkaido source synthesis	1937-07-25	34-1937-07-25-26-LANGFANG-COMMS-LINE-INCIDENT-GATE.md		物理的sabotageなのでequipment reliabilityと分離
B-0133	communications	Asai cannot replace Peiping-Tientsin trunk topology	1937 current branchには高密度portable tactical radio/robust radio-relay trunkのCLOSED設定がなく、浅井電機は固定軍用線を不要化しない。wire cut後の修理・保線任務は存続	CLOSED-DIRECTION	current-session causal audit	1937-07-25	34-1937-07-25-26-LANGFANG-COMMS-LINE-INCIDENT-GATE.md		better terminal equipment != redundant network topology
B-0134	history	Langfang repair-party access sequence	23日通信隊派遣は保安隊に阻止、24日張自忠等と許可再調整、25日文書通告後16:30頃廊坊着・修理開始を史実同様に保存	CLOSED-EVENT	current-session + Hokkaido	1937-07-23/25	34-1937-07-25-26-LANGFANG-COMMS-LINE-INCIDENT-GATE.md		主要delayはaccess/permissionであり診断速度ではない
B-0135	communications	Langfang overnight presence despite Asai diagnostics	浅井式測定/故障診断で技術作業が多少短縮し得ても、反復切断に対する保線警護・宿営/駅滞在摩擦が残るため夜間presenceを消さない。修理完了時刻だけOPEN-detail	CLOSED-DIRECTION	current-session causal audit	1937-07-25	34-1937-07-25-26-LANGFANG-COMMS-LINE-INCIDENT-GATE.md		faster repair alone is insufficient to erase encounter
B-0136	history	25 July 23:10 Langfang clash	25日23:10頃の廊坊交戦開始を保存。岩谷は日本側記録の整合性をより高く評価するが、中国側/外国側に逆の説明もあるためfirst-shot責任は絶対確定しない	CLOSED-EVENT	current-session + Hokkaido/FRUS cross-source	1937-07-25	34-1937-07-25-26-LANGFANG-COMMS-LINE-INCIDENT-GATE.md		event CLOSED; attribution WORKING-LIKELY Japanese reconstruction
B-0137	weapons	Asai effect on initial Langfang firefight	浅井由来の小火器製造/QC成熟はstoppage/reliabilityの小差を作り得るが、夜間包囲下の小銃/MG/手榴弾/迫撃砲戦を反転させるfailure gateは確認できず、初期損害は同じorderに留める	CLOSED-DIRECTION	current-session causal audit	1937-07-25/26	34-1937-07-25-26-LANGFANG-COMMS-LINE-INCIDENT-GATE.md		exact casualty micro-delta OPEN
B-0138	history	26 July Langfang reinforcement and morning outcome	00時頃増援要請、03:30頃天津軍の武力方針転換、06時頃航空攻撃、朝までの日本側廊坊掌握を保存。戦闘終了exact時刻は報告差でOPEN	CLOSED-EVENT	current-session + Hokkaido/FRUS	1937-07-26	34-1937-07-25-26-LANGFANG-COMMS-LINE-INCIDENT-GATE.md		air support historically occurs; no Asai-driven timing jump
B-0139	politics	Langfang as policy-break trigger	それまで25日昼なお不拡大/交渉履行線だった天津軍が、友好的と見られた張自忠麾下38師との廊坊戦を重大な裏切り/統制崩壊と認識し、外交解決断念方向へ転じる因果を保存	CLOSED-DIRECTION	current-session + Hokkaido interpretation	1937-07-26	34-1937-07-25-26-LANGFANG-COMMS-LINE-INCIDENT-GATE.md		浅井readinessは判断原因ではない
B-0140	history	26 July Guang'anmen transfer setup	天津駐屯歩兵第2聯隊第2大隊は列車で豊台へ進み、26台のtruckに分乗して北平居留民保護のため広安門へ向かう。16時頃の入城手配を史実同様に保存	CLOSED-EVENT	current-session + Hokkaido/Sakurai report	1937-07-26	35-1937-07-26-27-GUANGANMEN-CONVOY-DELAY-GATE.md		
B-0141	logistics	Guang'anmen convoy delay localization	1時間超の遅延は史料上「豊台出発が遅れ」と明示され、道路走行速度・過熱・故障による遅延とは確認されない	CLOSED-DIRECTION	current-session + Hokkaido	1937-07-26	35-1937-07-26-27-GUANGANMEN-CONVOY-DELAY-GATE.md		delay cause exact remains OPEN-detail
B-0142	logistics	Asai effect on Guang'anmen convoy departure	当該26台の車種/機関は未確定で全車を浅井turbo仕様にしない。車両故障/始動不良が豊台出発遅延原因との証拠もないため、浅井差で出発を前倒ししない	CLOSED-DIRECTION	current-session causal audit	1937-07-26	35-1937-07-26-27-GUANGANMEN-CONVOY-DELAY-GATE.md		ordinary gasoline trucks remain widespread
B-0143	history	Guang'anmen pre-arrival gate closures	15:20頃には主力到着前に中国側が門を閉じ武装警戒。16時頃の最初の開門交渉成立後も主力不在の間に再閉門されるsequenceを保存	CLOSED-EVENT	current-session + Hokkaido/Sakurai report	1937-07-26	35-1937-07-26-27-GUANGANMEN-CONVOY-DELAY-GATE.md		
B-0144	history-counterfactual	Guang'anmen punctual-arrival sensitivity	主力が予定どおり16時頃に最初の開門へ到着していれば事件sequenceが変わる可能性は実在する。ただし浅井が遅延原因を変える根拠がないためcurrent branchでは発動しない	WORKING-HIGH-CONFIDENCE	current-session causal audit	1937-07-26	35-1937-07-26-27-GUANGANMEN-CONVOY-DELAY-GATE.md		counterfactual sensitivity, not branch divergence
B-0145	history	Guang'anmen 17:40-18:20 clash sequence	17:40頃再開門命令、18:20頃入門開始、隊列前半通過中の閉門/射撃と分断戦闘をCLOSED-SAME。初弾時の通過車両数は史料差でOPEN-detail	CLOSED-EVENT	current-session + Hokkaido/Sakurai report	1937-07-26	35-1937-07-26-27-GUANGANMEN-CONVOY-DELAY-GATE.md		Iwatani 3rd/6 vehicles vs Sakurai roughly 10 at first shots
B-0146	weapons	Asai effect on Guang'anmen firefight	浅井小火器QCはstoppage/reliabilityの微差を作り得るが戦闘trigger/結果を反転させる史実故障点なし。砲兵計算・U/W徹甲弾は当該近接門戦闘の律速でない	CLOSED-DIRECTION	current-session causal audit	1937-07-26	35-1937-07-26-27-GUANGANMEN-CONVOY-DELAY-GATE.md		
B-0147	communications-politics	Guang'anmen fragmentary-report attack order	天津軍は断片情報から大隊全滅も疑い22:20頃27日正午攻撃命令。1937 branchにdense tactical radio revolutionがないためこの情報不完全性を消さず、命令を保存	CLOSED-EVENT	current-session + Hokkaido	1937-07-26	35-1937-07-26-27-GUANGANMEN-CONVOY-DELAY-GATE.md		
B-0148	politics	27 July 04:30 temporary attack postponement	広安門事件が当初想定ほど大事でないとの判明、松井具申、28日正午期限、居留民避難未了により04:30頃攻撃開始を一時延期する判断を保存	CLOSED-EVENT	current-session + Hokkaido	1937-07-27	35-1937-07-26-27-GUANGANMEN-CONVOY-DELAY-GATE.md		
B-0149	history	Guang'anmen attribution/casualty source sensitivity	事件発生と分断戦闘はCLOSED。第一発責任・現場の命令意図・初弾時通過車両数・正確損害は日本現場記録/中国側/外国側記録差を残してOPEN-detail	CLOSED-DIRECTION	current-session source audit	1937-07-26	35-1937-07-26-27-GUANGANMEN-CONVOY-DELAY-GATE.md		do not harden popular-account casualty figures
